Origin	Trademark	logo	International Classes	Status	Application No	Application Date	Registration No	Registration Date	Next Renewal Due	他项权利	Registered Owner	certificate
	MISS SIXTY		18	Registered	64281	10-May-2004	54413	17-May-2005	09-May-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	64450	19-Oct-2004	53591	06-Jun-2005	19-Oct-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	64451	19-Oct-2004	53590	06-Jun-2005	19-Oct-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	66992	31-Oct-2004	63758	31-Oct-2004	30-Oct-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	32363	07-Nov-2004	77367	16-Jun-2005	07-Nov-2024	无	SIXTY INTERNATIONAL S.A.	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Agr.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
IR-Prot.	MISS SIXTY		03,09,14,18,25	Registered	794649	10-Oct-2002	794649	10-Oct-2002	10-Oct-2022	无	MISS SIXTY INVESTMENTS SA	
