Origin	Trademark	logo	International Classes	Status	Application No	Application Date	Registration No	Registration Date	Next Renewal Due	他项权利	Registered Owner	certificate
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		12	Registered	010032001	09-Jun-2011	010032001	21/10/2011	09-Jun-2021	无	MISS SIXTY INVESTMENTS SA	
	MISS SIXTY		25	Registered	D-769	02-Nov-1999	03480	13-Mar-2000	02-Nov-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	D-769	02-Nov-1999	04078	13-Mar-2000	02-Nov-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	1010072	24-Apr-2002	0707030	24-Apr-2002	24-Apr-2022	无	MISS SIXTY INVESTMENTS SA	打不开
	MISS SIXTY		25	Registered	SM-3601-2004	09-Nov-2004	101839-C	19-Dec-2005	19-Dec-2025	无	SIXTY INTERNATIONAL S.A.	打不开
	MISS SIXTY		3	Registered	SM-3600-2004	09-Nov-2004	101843-C	19-Dec-2005	19-Dec-2025	无	SIXTY INTERNATIONAL S.A.	打不开
	MISS SIXTY		3	Registered	219589	08-Sep-2004	101926	06-Dec-2004	06-Dec-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	988586	09-Feb-2009	1091111	20-Mar-2009	09-Feb-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	988587	09-Feb-2009	1092513	27-Mar-2009	09-Feb-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3, 9, 14, 18, 25	Registered	8531	12-Mar-2009	11313	17-Jul-2013	12-Mar-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		9, 14, 25	Registered	115458	15-Mar-2008	115458	15-Mar-2008	15-Mar-2023	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		9	Registered	149112	05-Dec-2009	1247/42	03-May-2011	18-Aug-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	43928-2004	19-Oct-2004	126 Book 44	25-Jul-2005	25-Jul-2025	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	1295863	13-Jul-2004	1295863	09-Jan-2006	13-Jul-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	M-7652-2004	15-Oct-2004	135095	04-Apr-2005	03-Apr-2025	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		9	Registered	132284	28-Jul-2009	135846	05-Apr-2011	28-Jul-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		24	Registered	RM2009C002489	28-Apr-2009	1369711	09-Nov-2010	28-Apr-2019	无	MISS SIXTY INVESTMENTS SA	
	MISS SIXTY		18	Registered	139799-01	30-Dec-2004	139799-01	11-May-2005	30-Dec-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	141043-01	07-Mar-2005	141043-01	15-Jul-2005	07-Mar-2025	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	2004-84213	19-Oct-2004	145846	15-Jan-2005	15-Jan-2025	无	SIXTY INTERNATIONAL S.A.	打不开
	MISS SIXTY		3	Registered	6942-2004	24-Sep-2004	152789	17-Jun-2005	17-Jun-2025	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3, 9, 14, 18, 25	Registered	84010078	29-Mar-2005	159677	03-Dec-2008	29-Mar-2025	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	AM 2004 032349	21-Sep-2004	16317	02-Nov-2005	02-Nov-2025	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		9	Registered	2009-004820	24-Jul-2009	166676	23-Nov-2009	22-Nov-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	1705373	01-Jul-2008	1705373	13-Jan-2011	01-Jul-2018	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	173269	06-Jul-2004	173269	04-Aug-2005	06-Jul-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	174900	23-Sep-2004	174900	07-Nov-2005	23-Sep-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	7503-2010	12-Oct-2010	179273	10-Nov-2011	09-Nov-2021	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		9	Registered	1843161	23-Jul-2009	1843161	26-Feb-2011	23-Jul-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3, 9, 14	Registered	2010-6765	23-Mar-2010	193286	15-Feb-2012	15-Feb-2022	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	2004-2824	22-Apr-2004	196395	13-Nov-2009	13-Nov-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	2004/11106	05-Jul-2004	2004/11106	05-Jul-2004	05-Jul-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		9, 18	Registered	2009/63111	25-Nov-2009	2009/63111	19-Mar-2012	30-Nov-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	IM-991108.14	08-Nov-1999	20316	12-Jan-2000	07-Nov-2019	无	MISS SIXTY INVESTMENTS SA	
	MISS SIXTY		9	Registered	2535100	13-Aug-2004	2074272	22-Mar-2006	22-Mar-2026	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	2542761	21-Sep-2004	2086418	16-May-2006	16-May-2026	无	MISS SIXTY INVESTMENTS SA	
	MISS SIXTY		18	Registered	149113	28-Sep-2004	212-05	13-Jan-2005	13-Jan-2025	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	75-263499	25-Mar-1997	2124033	23-Dec-1997	23-Dec-2017	无	MISS SIXTY INVESTMENTS SA	
	MISS SIXTY		25	Registered	2180.04	20-Feb-2004	218004	25-May-2004	20-Feb-2024	无	MISS SIXTY INVESTMENTS SA	
	MISS SIXTY		9	Registered	225316	25-Nov-2009	225316	07-Feb-2011	25-Nov-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	232573	31-Aug-2010	232573	11-Oct-2012	31-Aug-2020	无	SIXTY INTERNATIONAL S.A.	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
